,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
71,caravelas,BR,-17.7125,-39.2481,83.25,56,33,8.95,scattered clouds
72,ajmer,IN,26.45,74.6333,98.1,20,79,4.12,broken clouds
73,geraldton,AU,-28.7667,114.6,63.01,67,97,5.26,overcast clouds
74,klaksvik,FO,62.2266,-6.589,50.92,80,75,14.76,broken clouds
75,okhotsk,RU,59.3833,143.3,37.98,83,100,3.96,overcast clouds
76,nicoya,CR,10.1483,-85.452,80.15,61,78,8.9,broken clouds
77,arraial do cabo,BR,-22.9661,-42.0278,78.66,73,75,4.61,broken clouds
78,san cayetano,CO,7.8771,-72.6243,83.28,65,40,4.23,scattered clouds
79,leh,IN,34.1667,77.5833,52.66,23,0,5.44,clear sky
80,cherskiy,RU,68.75,161.3,51.58,44,3,9.55,clear sky
81,nago,JP,26.5881,127.9761,82.83,90,100,5.28,heavy intensity rain
82,faanui,PF,-16.4833,-151.75,80.26,68,9,8.37,clear sky
83,matara,LK,5.9485,80.5353,79.54,88,100,16.69,overcast clouds
84,samarai,PG,-10.6167,150.6667,78.21,74,100,17.34,overcast clouds
85,mareeba,AU,-17.0,145.4333,59.72,84,37,1.7,scattered clouds
86,kruisfontein,ZA,-34.0033,24.7314,59.4,73,88,11.63,overcast clouds
87,abdanan,IR,32.9926,47.4198,91.02,11,0,11.77,clear sky
88,kon tum,VN,14.35,108.0,73.11,96,39,1.88,scattered clouds
89,clyde river,CA,70.4692,-68.5914,25.03,93,90,36.82,snow
90,kiama,AU,-34.6833,150.8667,53.08,70,0,7.0,clear sky
91,mahebourg,MU,-20.4081,57.7,77.29,78,40,8.05,scattered clouds
92,verkhnevilyuysk,RU,63.4453,120.3167,51.48,78,100,5.48,overcast clouds
93,inuvik,CA,68.3499,-133.7218,27.61,66,90,5.75,overcast clouds
94,sulangan,PH,11.1373,123.7228,84.36,75,69,6.04,broken clouds
95,upernavik,GL,72.7868,-56.1549,37.94,89,50,2.17,scattered clouds
96,tiksi,RU,71.6872,128.8694,33.75,98,100,5.48,overcast clouds
97,zambezi,ZM,-13.5432,23.1047,78.42,20,0,4.88,clear sky
98,kavaratti,IN,10.5669,72.642,83.57,77,7,16.62,clear sky
99,carson city,US,39.1638,-119.7674,61.05,47,1,0.0,clear sky
100,santa fe,AR,-31.6333,-60.7,69.75,57,0,1.99,clear sky
101,tevaitoa,PF,-16.7833,-151.5,80.26,70,9,7.96,clear sky
102,bethel,US,41.3712,-73.414,76.55,69,40,1.99,scattered clouds
103,saint-philippe,RE,-21.3585,55.7679,76.59,81,58,6.08,broken clouds
104,isangel,VU,-19.55,169.2667,69.06,69,41,4.14,scattered clouds
105,talnakh,RU,69.4865,88.3972,19.83,92,6,5.14,clear sky
106,panaba,MX,21.2833,-88.2667,86.23,56,40,8.1,scattered clouds
107,chaupimarca,PE,-10.4333,-76.5333,44.89,45,3,5.77,clear sky
108,san jose,US,37.3394,-121.895,57.56,81,20,3.44,few clouds
109,beyneu,KZ,45.3167,55.2,82.83,38,81,26.84,broken clouds
110,rawson,AR,-43.3002,-65.1023,56.88,56,93,17.18,overcast clouds
111,hobart,AU,-42.8794,147.3294,43.92,77,75,3.0,light rain
112,yeppoon,AU,-23.1333,150.7333,62.38,42,0,10.65,clear sky
113,saint george,US,37.1041,-113.5841,78.35,23,1,0.0,clear sky
114,souillac,MU,-20.5167,57.5167,77.38,78,40,6.89,scattered clouds
115,norman wells,CA,65.282,-126.8329,33.84,100,90,9.22,overcast clouds
116,pontalina,BR,-17.525,-49.4472,90.45,31,8,3.42,clear sky
117,edd,ER,13.9297,41.6925,96.21,47,100,22.82,overcast clouds
118,mao,ES,39.8885,4.2658,70.36,60,20,2.3,few clouds
119,saint-pierre,RE,-21.3393,55.4781,76.68,76,90,2.3,overcast clouds
120,poum,NC,-20.2333,164.0167,72.19,66,75,4.29,broken clouds
121,ahipara,NZ,-35.1667,173.1667,52.2,78,69,7.16,broken clouds
