,Unnamed: 0,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
633,633,cayhagan,PH,9.6697,122.4256,80.83,79,100,3.2,overcast clouds
636,636,la troncal,EC,-2.4,-79.3333,82.2,89,84,3.11,broken clouds
643,643,barra patuca,HN,15.8,-84.2833,82.35,78,100,11.5,overcast clouds
646,646,kirakira,SB,-10.4544,161.9205,75.51,80,79,8.41,broken clouds
648,648,amapa,BR,1.0,-52.0,75.58,97,100,0.74,moderate rain
652,652,praia,CV,14.9215,-23.5087,79.34,57,20,24.16,few clouds
654,654,amahai,ID,-3.3333,128.9167,78.03,82,95,8.23,overcast clouds
657,657,fortaleza,BR,-3.7227,-38.5247,88.25,58,75,17.27,broken clouds
661,661,san cristobal,VE,7.7669,-72.225,75.38,81,64,5.23,broken clouds
664,664,belmonte,BR,-15.8631,-38.8828,82.9,64,46,6.67,scattered clouds
665,665,lar,IN,26.2039,83.9717,75.06,93,100,19.86,overcast clouds
668,668,brenham,US,30.1669,-96.3977,80.38,86,90,8.05,overcast clouds
670,670,cotonou,BJ,6.3654,2.4183,89.58,70,40,14.97,scattered clouds
672,672,touros,BR,-5.1989,-35.4608,86.9,65,82,17.2,broken clouds
676,676,tibati,CM,6.4667,12.6333,84.96,50,32,1.99,scattered clouds
680,680,batticaloa,LK,7.7102,81.6924,83.35,69,11,15.14,few clouds
681,681,puerto colombia,CO,10.9878,-74.9547,86.09,66,97,6.98,overcast clouds
685,685,kalmunai,LK,7.4167,81.8167,83.32,68,37,4.83,scattered clouds
686,686,kendari,ID,-3.945,122.4989,76.8,88,14,1.41,few clouds
688,688,fabiansebestyen,HU,46.6833,20.4667,75.27,49,68,5.1,broken clouds
