City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Provideniya,RU,2021-05-26 15:14:17,64.3833,-173.3,40.95,52,99,15.48
68,Guiratinga,BR,2021-05-26 15:14:18,-16.3494,-53.7583,84.96,52,0,2.48
69,Hermanus,ZA,2021-05-26 15:13:14,-34.4187,19.2345,65.89,77,95,5.75
70,Barrow,US,2021-05-26 15:11:15,71.2906,-156.7887,26.62,93,90,13.8
71,Puerto Baquerizo Moreno,EC,2021-05-26 15:14:18,-0.9,-89.6,77.99,78,20,16.11
72,Qaanaaq,GL,2021-05-26 15:14:19,77.484,-69.3632,34.03,75,8,6.33
73,Kortkeros,RU,2021-05-26 15:14:19,61.8106,51.5806,46.4,59,100,5.82
74,Port Hardy,CA,2021-05-26 15:14:19,50.6996,-127.4199,47.07,82,100,7.38
75,Cape Town,ZA,2021-05-26 15:14:20,-33.9258,18.4232,67.08,60,97,1.01
76,Pevek,RU,2021-05-26 15:14:20,69.7008,170.3133,22.78,87,19,3.44
77,Bengkulu,ID,2021-05-26 15:12:20,-3.8004,102.2655,79.75,85,100,5.1
78,Puerto Del Rosario,ES,2021-05-26 15:12:59,28.5004,-13.8627,73.15,56,20,19.57
79,Katsuura,JP,2021-05-26 15:14:21,35.1333,140.3,69.12,82,100,2.84
80,Zupanja,HR,2021-05-26 15:14:21,45.0775,18.6975,73.38,52,2,7.14
81,Broome,US,2021-05-26 15:14:22,42.2506,-75.833,82.53,62,1,3.0
82,Guerrero Negro,MX,2021-05-26 15:14:22,27.9769,-114.0611,64.9,69,97,6.2
83,Mildura,AU,2021-05-26 15:14:22,-34.2,142.15,46.08,86,4,8.57
84,Tena,EC,2021-05-26 15:14:23,-0.9833,-77.8167,75.96,98,100,0.89
85,Sri Aman,MY,2021-05-26 15:14:23,1.2376,111.4621,77.47,91,97,1.74
86,Coolum Beach,AU,2021-05-26 15:14:24,-26.5333,153.1,65.1,83,13,6.53
87,New Norfolk,AU,2021-05-26 15:14:24,-42.7826,147.0587,47.66,74,100,9.37
88,Atar,MR,2021-05-26 15:14:24,20.5169,-13.0499,103.21,10,1,7.58
89,Fairbanks,US,2021-05-26 15:11:48,64.8378,-147.7164,48.81,63,1,3.44
90,Siniscola,IT,2021-05-26 15:14:25,40.5719,9.6922,74.75,48,24,7.72
91,Yulara,AU,2021-05-26 15:14:25,-25.2406,130.9889,49.84,57,64,5.75
92,Rudnogorsk,RU,2021-05-26 15:14:26,57.2639,103.7519,33.04,87,68,4.88
93,Lengnau,CH,2021-05-26 15:14:26,47.1838,7.3737,66.25,57,75,11.5
94,Vardo,NO,2021-05-26 15:14:27,70.3705,31.1107,41.2,60,75,4.61
95,Vaini,TO,2021-05-26 15:14:27,-21.2,-175.2,64.56,100,40,0.0
96,Burnie,AU,2021-05-26 15:14:28,-41.0667,145.9167,48.94,87,61,15.73
97,Ostrovnoy,RU,2021-05-26 15:14:29,68.0531,39.5131,38.07,61,27,5.12
98,Pout,SN,2021-05-26 15:14:29,14.7739,-17.0603,88.56,42,0,14.36
99,Codo,BR,2021-05-26 15:14:29,-4.4553,-43.8856,90.0,41,12,6.69
100,Newtownards,GB,2021-05-26 15:14:30,54.5924,-5.6909,61.54,62,45,3.49
101,Jurilovca,RO,2021-05-26 15:14:30,44.7667,28.8667,71.69,68,61,9.01
102,Ancud,CL,2021-05-26 15:13:20,-41.8697,-73.8203,53.13,97,100,9.48
103,Sao Gabriel Da Cachoeira,BR,2021-05-26 15:14:31,-0.1303,-67.0892,75.9,95,99,2.21
104,Mao,ES,2021-05-26 15:14:31,39.8885,4.2658,68.56,52,20,11.5
105,Hithadhoo,MV,2021-05-26 15:14:32,-0.6,73.0833,83.5,73,100,19.26
106,Port Alfred,ZA,2021-05-26 15:14:32,-33.5906,26.891,63.82,71,90,9.31
107,Uberlandia,BR,2021-05-26 15:14:32,-18.9186,-48.2772,85.66,29,6,3.22
108,Todos Santos,MX,2021-05-26 15:14:33,23.45,-110.2167,88.3,42,99,5.77
109,Ballina,AU,2021-05-26 15:14:33,-28.8667,153.5667,57.78,77,52,7.25
110,Broken Hill,AU,2021-05-26 15:14:34,-31.95,141.4333,47.44,65,0,9.17
111,Labrea,BR,2021-05-26 15:14:34,-7.2586,-64.7981,89.87,52,24,4.36
112,Onega,RU,2021-05-26 15:14:35,63.9061,38.1404,45.75,49,53,3.8
113,Evensk,RU,2021-05-26 15:14:35,61.95,159.2333,37.89,97,100,16.31
114,Port Lincoln,AU,2021-05-26 15:14:35,-34.7333,135.8667,57.07,71,34,8.57
115,Batagay-Alyta,RU,2021-05-26 15:14:36,67.8006,130.4114,44.2,71,66,5.46
116,Ruteng,ID,2021-05-26 15:14:36,-8.6136,120.4721,62.67,93,81,1.63
117,Nacala,MZ,2021-05-26 15:14:36,-14.5428,40.6728,74.37,61,60,9.98
118,Rincon,US,2021-05-26 15:14:37,32.296,-81.2354,84.83,61,75,1.99
119,Serra Talhada,BR,2021-05-26 15:14:37,-7.9919,-38.2983,90.21,32,1,16.26
120,Nouakchott,MR,2021-05-26 15:14:38,18.0858,-15.9785,84.13,53,0,18.61
121,Teeli,RU,2021-05-26 15:14:38,51.0333,90.2333,66.79,42,94,5.95
122,Saint-Augustin,CA,2021-05-26 15:14:38,51.226,-58.6502,45.7,40,94,7.78
123,Geraldton,AU,2021-05-26 15:14:39,-28.7667,114.6,61.21,41,100,14.63
124,East London,ZA,2021-05-26 15:14:39,-33.0153,27.9116,66.02,75,85,6.49
125,Comodoro Rivadavia,AR,2021-05-26 15:14:39,-45.8667,-67.5,45.52,71,49,10.29
126,Lazaro Cardenas,MX,2021-05-26 15:14:40,17.9583,-102.2,81.84,62,100,1.25
127,Saldanha,ZA,2021-05-26 15:14:40,-33.0117,17.9442,59.58,75,82,5.93
128,Nedjo,ET,2021-05-26 15:14:40,9.5046,35.5019,69.82,61,87,2.3
129,Ligayan,PH,2021-05-26 15:14:41,4.6533,119.4706,83.98,72,32,3.94
130,Rocha,UY,2021-05-26 15:12:27,-34.4833,-54.3333,58.39,57,60,9.33
131,Mount Gambier,AU,2021-05-26 15:14:41,-37.8333,140.7667,51.93,83,15,9.17
132,Bokoro,TD,2021-05-26 15:14:42,12.3807,17.0568,105.69,5,4,5.46
133,Eenhana,NA,2021-05-26 15:13:26,-17.4667,16.3333,80.92,17,0,7.16
134,Kirensk,RU,2021-05-26 15:14:42,57.7853,108.1119,44.28,90,95,2.51
135,Krasnoselkup,RU,2021-05-26 15:14:43,65.7,82.4667,34.74,62,98,9.98
136,Tura,IN,2021-05-26 15:14:43,25.5198,90.2201,72.5,92,100,5.17
137,Torbay,CA,2021-05-26 15:14:43,47.6666,-52.7314,49.28,93,100,5.93
138,Pueblo,US,2021-05-26 15:14:44,38.2545,-104.6091,74.01,75,75,0.92
139,Kavieng,PG,2021-05-26 15:14:44,-2.5744,150.7967,80.33,84,100,5.7
140,Hobart,AU,2021-05-26 15:14:45,-42.8794,147.3294,48.02,86,40,3.0
141,Zwedru,LR,2021-05-26 15:14:45,6.0667,-8.1281,86.97,67,85,3.13
142,Namibe,AO,2021-05-26 15:14:45,-15.1961,12.1522,81.23,53,0,8.08
143,Mogadishu,SO,2021-05-26 15:14:46,2.0371,45.3438,79.43,75,80,15.12
144,Cabo San Lucas,MX,2021-05-26 15:12:13,22.8909,-109.9124,88.81,47,20,3.44
145,Assiniboia,CA,2021-05-26 15:10:49,49.6334,-105.9845,43.92,65,97,10.25
146,Jumla,NP,2021-05-26 15:14:46,29.2747,82.1838,60.31,78,75,3.98
147,Muisne,EC,2021-05-26 15:14:47,0.6,-80.0333,82.51,80,92,8.41
