City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
81,jamestown,US,42.097,-79.2353,52.02,63,90,3.0,overcast clouds
82,cozumel,MX,20.5083,-86.9458,71.58,83,6,6.06,clear sky
83,najran,SA,17.4924,44.1277,99.25,9,55,18.3,broken clouds
84,maniitsoq,GL,65.4167,-52.9,38.08,79,15,7.87,few clouds
85,mahebourg,MU,-20.4081,57.7,81.25,69,75,6.91,broken clouds
86,contai,IN,21.7786,87.7536,88.81,69,30,13.98,scattered clouds
87,prince rupert,CA,54.3161,-130.3201,47.89,87,90,12.66,light rain
88,cayenne,GF,4.9333,-52.3333,74.08,91,90,3.24,overcast clouds
89,linkoping,SE,58.4109,15.6216,61.52,47,0,12.66,clear sky
90,makushino,RU,55.2103,67.2442,69.89,34,0,6.6,clear sky
91,faya,SA,18.3851,42.4509,86.11,17,14,2.86,few clouds
92,kaitangata,NZ,-46.2817,169.8464,44.4,92,100,4.25,overcast clouds
93,lagos,NG,6.5833,3.75,88.12,59,95,6.42,overcast clouds
94,la rioja,ES,42.25,-2.5,67.78,56,100,4.79,overcast clouds
95,faanui,PF,-16.4833,-151.75,80.42,72,31,7.54,scattered clouds
96,fairlie,GB,55.756,-4.8556,57.11,90,100,5.37,overcast clouds
97,mbandaka,CD,0.0487,18.2603,85.35,57,69,2.53,broken clouds
98,falmouth,GB,50.1544,-5.0711,60.78,89,75,3.0,broken clouds
99,pisco,PE,-13.7,-76.2167,64.45,88,90,3.44,overcast clouds
100,kayerkan,RU,69.3497,87.7602,31.06,92,98,8.57,overcast clouds
101,nyimba,ZM,-14.5566,30.8149,81.46,26,0,2.1,clear sky
102,ayagoz,KZ,47.9714,80.4392,71.26,27,0,19.84,clear sky
103,kirakira,SB,-10.4544,161.9205,77.2,79,100,7.29,overcast clouds
104,severo-kurilsk,RU,50.6789,156.125,39.02,90,69,6.69,broken clouds
105,vardo,NO,70.3705,31.1107,37.6,87,75,23.02,light rain
106,luang prabang,LA,19.8856,102.1347,94.96,49,40,4.61,scattered clouds
107,solnechnyy,RU,50.7214,136.6319,54.32,70,97,2.71,overcast clouds
108,sorland,NO,67.667,12.6934,46.47,79,53,10.33,broken clouds
109,miercurea-ciuc,RO,46.35,25.8,59.07,96,100,0.98,overcast clouds
110,crotone,IT,39.0851,17.1178,78.75,41,0,13.76,clear sky
111,agirish,RU,61.9247,63.0231,52.34,53,97,4.23,overcast clouds
112,tatawin,TN,32.9297,10.4518,90.48,28,26,7.45,scattered clouds
113,bengkulu,ID,-3.8004,102.2655,80.58,86,100,2.98,light rain
114,tuktoyaktuk,CA,69.4541,-133.0374,27.97,89,100,6.93,overcast clouds
115,tayoltita,MX,24.0833,-105.9333,66.42,54,3,3.42,clear sky
116,ibra,OM,22.6906,58.5334,107.69,3,3,11.21,clear sky
117,isangel,VU,-19.55,169.2667,70.61,67,56,1.45,broken clouds
118,ribeira grande,PT,38.5167,-28.7,63.0,63,20,3.44,few clouds
119,port elizabeth,ZA,-33.918,25.5701,71.1,46,0,19.57,clear sky
120,iskateley,RU,67.6803,53.1512,44.76,62,100,16.37,overcast clouds
121,honiara,SB,-9.4333,159.95,77.2,87,100,3.36,moderate rain
122,hobart,AU,-42.8794,147.3294,46.26,72,75,1.99,broken clouds
123,hazaribag,IN,23.9833,85.35,89.78,39,94,9.46,overcast clouds
124,loreto,MX,22.2667,-101.9667,66.92,49,67,4.07,broken clouds
125,longyearbyen,SJ,78.2186,15.6401,30.04,64,20,9.22,few clouds
126,nyagan,RU,62.1406,65.3936,53.78,44,100,3.76,overcast clouds
127,aasiaat,GL,68.7098,-52.8699,34.63,90,65,1.25,broken clouds
128,urumqi,CN,43.801,87.6005,77.95,29,40,17.38,scattered clouds
129,sampang,ID,-7.1872,113.2394,84.15,74,100,12.68,overcast clouds
130,taoudenni,ML,22.6783,-3.9836,107.31,11,78,16.75,broken clouds
131,mayo,US,38.8876,-76.5119,68.32,67,40,4.0,scattered clouds
132,paamiut,GL,61.994,-49.6678,41.61,66,26,5.75,scattered clouds
133,upernavik,GL,72.7868,-56.1549,35.6,83,88,4.09,overcast clouds
134,butaritari,KI,3.0707,172.7902,83.12,78,68,14.61,light rain
135,nome,US,64.5011,-165.4064,46.47,46,1,18.41,clear sky
136,ancud,CL,-41.8697,-73.8203,49.53,85,100,13.94,overcast clouds
137,rio gallegos,AR,-51.6226,-69.2181,30.25,80,0,20.71,clear sky
138,caceres,ES,39.522,-6.3748,77.81,48,70,8.39,broken clouds
139,goderich,CA,43.7501,-81.7165,41.92,87,100,17.27,overcast clouds
140,dingle,PH,10.9995,122.6711,82.51,79,55,1.19,light rain
141,nushki,PK,29.5542,66.0215,100.63,7,0,8.66,clear sky
142,tyrma,RU,50.0833,132.1667,56.39,65,86,1.1,overcast clouds
143,scarborough,GB,54.2797,-0.4044,61.84,81,100,1.01,overcast clouds
144,tasiilaq,GL,65.6145,-37.6368,44.76,74,82,9.95,broken clouds
145,santa maria,BR,-29.6842,-53.8069,58.3,88,40,4.09,light rain
146,henties bay,NA,-22.116,14.2845,64.85,62,55,9.28,broken clouds
147,coari,BR,-4.085,-63.1414,73.87,92,55,2.48,broken clouds
148,shelburne,CA,44.0787,-80.2041,43.56,87,100,11.43,light rain
149,beringovskiy,RU,63.05,179.3167,28.67,96,58,7.74,broken clouds
150,castro,BR,-24.7911,-50.0119,58.39,90,100,3.85,overcast clouds
151,vung tau,VN,10.346,107.0843,84.36,73,83,10.07,broken clouds
152,treinta y tres,UY,-33.2333,-54.3833,52.07,88,97,5.7,overcast clouds
153,nouadhibou,MR,20.931,-17.0347,71.58,68,100,18.41,overcast clouds
